LOAN_ID,TOTAL_AMOUNT,INTREST,AMOUNT_LEFT,OFFERED_BY,OFFERED_TO
766,5309,11.41,4313,B1T,548
767,52526,10.74,52244,BOe,19
768,94157,13.39,94023,Bbl,33
769,47196,9.89,47089,BBr,581
770,92850,16.89,92443,BSE,852
771,77815,7.92,76945,B02,338
772,42551,18.86,41813,B9K,923
773,69039,14.04,68504,BFx,376
774,63740,14.32,62896,BH4,250
775,73943,9.94,73349,BdV,119
776,1464,12.01,1446,Bm9,747
777,48574,7.48,48392,BoK,414
778,29229,9.1,28261,BRU,335
779,16924,10.12,16485,Bzx,527
780,19320,17.88,19119,BYi,296
781,92292,11.25,91819,BoK,672
782,76850,18.55,76709,BiA,480
783,56633,18.65,55800,B1T,170
784,58291,11.73,57892,BvO,41
785,3382,13.45,2949,BZ0,620
786,53180,10.25,53008,BTt,291
787,84145,11.08,83909,BLS,919
788,24505,16.59,23968,B88,152
789,91585,15.19,91238,BnL,210
790,45599,10.72,45169,BYF,118
791,1626,9.97,1131,B29,354
792,14253,10.89,13664,BTt,406
793,16397,7.51,15613,Bwa,176
794,76714,9.99,75834,BmU,875
795,7082,13.96,6435,B1i,789
796,56422,11.66,55436,BhO,5
797,76269,19.23,75763,Bzi,666
798,59177,11.91,58756,BeQ,912
799,16055,17.63,16004,B29,268
800,10493,17.62,10090,BdV,983
801,79215,9.66,78237,BBr,869
802,55254,7.35,54751,B02,167
803,67109,18.11,66986,BNI,559
804,37040,9.72,36109,Bwa,266
805,59624,7.33,59145,BRU,270
806,95309,16.67,95096,B3g,586
807,95196,16.49,94716,BnL,95
808,50751,16.89,50164,B2U,440
809,90454,12.65,89519,BBr,184
810,34846,17.85,34781,BmN,932
811,46032,11.54,45637,B02,461
812,92539,15.64,92297,BTV,136
813,22973,12.17,22271,B3g,770
814,86420,14.42,86037,BqY,703
815,31276,19.65,30993,BiA,32
816,41446,19.45,40749,BTV,500
817,51932,17.49,51820,Be6,13
818,62485,13.27,62261,BZd,524
819,69553,11.35,69040,BMl,752
820,36916,14.89,36432,Bv5,368
821,49580,11.09,49303,BZ0,929
822,2586,17.85,1684,BZX,468
823,1260,13.64,1240,Bfk,462
824,18357,9.43,17840,Bwa,82
825,32245,11.74,31321,Bvj,998
826,13024,8.09,12227,B2U,620
827,66031,14.09,65556,B2U,902
828,36241,15.87,35286,BTV,734
829,56757,16.45,55976,BiA,694
830,63072,12.41,62618,BBV,929
831,52462,11.91,51617,BN4,635
832,69875,19.03,69445,Bvj,836
833,21097,17.65,21006,ByX,114
834,24875,13.9,24065,Bao,626
835,27192,9.54,26222,BmU,833
836,51953,16.66,51367,BTU,803
837,65677,18.45,65365,BaO,132
838,8418,17.83,7566,BoK,355
839,69206,16.87,68766,B3M,932
840,41484,19.73,41263,B90,181
841,19952,12.32,19014,Bwd,659
842,82713,14.52,82256,BZd,667
843,2622,18.05,2553,Be6,886
844,1146,10.99,856,BEa,743
845,91955,19.04,91631,BxE,862
846,92123,17.85,91798,BoK,893
847,13322,15.44,12475,BvO,460
848,66008,18.36,65900,Bgt,268
849,63627,8.56,62799,BTt,302
850,34884,10.33,34749,Br2,474
851,53123,16.86,52914,BhP,172
852,55092,16.38,54349,Bbl,556
853,7121,15.08,6457,B88,266
854,91799,16.73,91407,B9I,293
855,31657,18.82,30937,BMl,247
856,14465,19.62,14426,BqY,252
857,33810,15.15,33455,Ba6,741
858,70058,19.53,69434,BTs,95
859,64065,19.23,63258,BSE,996
860,73725,11.14,73454,Bvj,53
861,50550,7.8,50435,BLF,814
862,59985,14.32,59453,Bgt,696
863,68537,13.04,67708,BGD,338
864,47074,17.9,46858,B90,433
865,75564,10.99,74797,Br2,819
866,37569,19.92,37519,BzG,419
867,54873,18.23,54547,Bfk,256
868,30690,17.3,29722,BeG,601
869,95025,9.19,94097,BEa,773
870,72781,18.17,72716,BLe,554
871,83721,7.44,83222,BFw,658
872,14383,9.14,14024,Bwa,205
873,32684,8.34,31982,B3g,179
874,50980,11.49,50102,BLe,155
875,70672,13.58,70287,Bwd,830
876,65811,12.72,65578,BrC,562
877,44747,13.75,44561,B1i,956
878,11058,7.97,10307,BTU,464
879,25781,12.04,24909,Bqr,939
880,72604,9.22,71614,B6c,169
881,74993,12.64,74116,BLS,235
882,28680,13.0,28512,Bvj,901
883,21930,13.88,21264,Bv5,380
884,55764,10.13,54893,B1i,935
885,95833,9.9,95138,B14,245
886,55571,12.18,54798,B29,696
887,73080,14.45,72921,BhP,216
888,30159,18.51,29901,BBr,376
889,50810,14.6,50229,BPx,866
890,64626,13.74,64490,Bgt,134
891,40488,7.35,40016,BGY,302
892,10979,18.87,10374,BXJ,446
893,51388,14.57,50695,BeQ,119
894,62748,9.69,61795,Byz,548
895,58834,7.37,58233,BEa,17
896,82121,13.74,82094,Bgt,203
897,2439,15.88,1565,BTe,555
898,14037,10.63,13647,Byz,721
899,56806,17.99,55817,BnL,582
900,10654,17.07,9895,Byz,347
901,45388,15.22,44395,BYF,919
902,20159,7.06,19932,BmC,980
903,14180,12.63,13663,Bvj,395
904,18554,10.39,18286,Bvj,490
905,69285,9.38,68879,BRU,214
906,9917,16.17,9419,BXD,832
907,75627,12.29,74901,BZ0,887
908,46882,15.36,46307,BnL,591
909,1152,12.97,453,BhP,33
910,17719,10.27,17699,BxL,94
911,33571,17.04,33254,BwA,960
912,32486,7.12,31790,Bgt,983
913,26654,7.22,26063,BTV,386
914,47231,16.59,46290,BBV,24
915,7046,12.08,6966,B3g,605
916,69366,15.98,68914,Bv2,401
917,28356,16.43,28331,BDT,120
918,54298,13.41,53349,B6c,626
919,72762,11.0,72665,BzG,340
920,69793,12.95,68957,Bqr,483
921,41575,11.81,41107,BZ0,61
922,47342,19.47,46505,B2U,961
923,51273,12.4,50870,Br2,657
924,80846,10.32,79984,Bv5,859
925,84970,13.22,84184,BBV,349
926,2083,15.8,1250,Br2,209
927,33053,7.03,32394,BvO,960
928,41731,11.81,40911,Be6,813
929,60791,18.67,59845,Bfk,617
930,45579,15.03,44859,BoK,584
931,81494,9.98,81024,BvO,60
932,47913,7.3,47396,BLS,567
933,84736,17.64,84066,BEa,631
934,50673,14.75,49814,BvO,585
935,90900,12.41,90685,BFx,67
936,11982,13.62,11349,B3g,550
937,17004,11.97,16539,BYY,379
938,78844,7.95,77884,Bao,711
939,29657,13.89,29134,BFx,89
940,42735,18.61,42691,Br2,772
941,98410,15.68,97697,BFw,340
942,16411,16.3,16316,BLS,233
943,7397,7.94,7072,BQf,69
944,49572,15.37,49012,BN4,58
945,75281,20.0,74721,Bfk,67
946,59182,17.94,58875,BQf,856
947,25383,9.55,24560,BxE,440
948,17120,13.91,17028,Bwd,445
949,17532,9.18,16866,BLe,785
950,23225,14.21,22693,BN4,680
951,83601,15.4,83596,B29,189
952,22069,17.54,21627,BN4,498
953,94456,9.7,93713,BN4,744
954,32476,15.3,32138,BmN,194
955,13995,12.44,13956,Bzx,491
956,60409,8.31,59727,B3M,710
957,34519,16.53,34292,BnL,690
958,27292,18.78,27143,BXJ,934
959,96929,10.64,96711,BmC,464
960,14027,7.21,13350,BMl,203
961,98039,18.8,97603,B14,334
962,46204,15.08,45606,Br2,630
963,49666,13.95,49535,Bon,355
964,18919,19.9,18647,Bsw,95
965,3144,16.78,2317,BxL,929
966,60983,19.01,60749,B9K,755
967,53756,10.11,53167,BRu,854
968,38939,17.8,38460,BZd,453
969,79353,11.03,79081,B2Q,713
970,71437,8.42,70826,BFx,414
971,30559,18.41,30319,B02,63
972,7618,17.07,7257,BoK,940
973,76967,18.7,76433,BOe,309
974,63228,7.97,62883,Bfk,142
975,37260,18.25,36712,Bsw,982
976,44759,10.38,44124,BYi,317
977,6485,9.76,6250,BTU,199
978,93204,9.0,92661,B1i,444
979,15312,18.47,15074,BXJ,56
980,71181,10.24,70675,BPx,5
981,26212,10.16,25863,BXJ,774
982,28476,19.83,28104,Byz,261
983,76967,18.23,76032,B6c,620
984,60544,13.62,59757,Bwd,38
985,73433,7.58,72472,Bm9,30
986,71047,17.78,70853,B02,232
987,27141,7.19,26883,BzG,859
988,45943,17.4,45275,B90,187
989,79508,14.92,78877,BnL,406
990,73984,14.64,73863,BOe,1
991,79706,14.12,79641,BaO,609
992,87620,12.16,87505,Bwa,536
993,75438,9.96,74769,BGD,85
994,95120,14.41,94549,Bfk,934
995,96866,13.54,96529,BMl,492
996,24375,13.73,23898,BLS,172
997,42973,19.32,42573,Bsw,869
998,77430,9.85,76888,BLF,45
999,9786,16.61,9274,BYF,635
1000,37037,13.75,36963,Bvf,605
